teacher_id,name,email,phone,subject,qualification,address,hire_date
TCH0001,Dr. Alice Johnson,alice@example.com,1234567890,Mathematics,Ph.D.,123 Teacher Lane,2015-01-10
TCH0002,Mr. Bob Smith,bob@example.com,0987654321,Physics,M.Sc.,456 Education Way,2018-06-15
TCH0003,Ms. Carol Davis,carol@example.com,5551234567,Chemistry,M.Sc.,789 Academic Rd,2017-09-01
TCH0004,Prof. David Wilson,david@example.com,5559876543,Computer Science,Ph.D.,321 Tech Avenue,2012-02-20
TCH0005,Mrs. Emma Martinez,emma@example.com,5554567890,English Literature,M.A.,654 Literary Dr,2019-08-01
TCH0006,Dr. Frank Rodriguez,frank@example.com,5551112222,Biology,Ph.D.,789 Science Way,2016-03-15
TCH0007,Mr. George Brown,george@example.com,5553334444,History,M.A.,321 Heritage Ave,2017-07-20
TCH0008,Ms. Helen Garcia,helen@example.com,5555556666,Geography,M.Sc.,654 Map Rd,2019-01-10
TCH0009,Prof. Ivan Patel,ivan@example.com,5557778888,Economics,Ph.D.,123 Finance St,2014-05-12
TCH0010,Mrs. Jane Lee,jane@example.com,5559990000,Psychology,M.A.,456 Mind Ave,2018-09-01
TCH0011,Dr. Kevin White,kevin@example.com,5551001111,Physics,Ph.D.,789 Lab Rd,2013-02-18
TCH0012,Mr. Liam Murphy,liam@example.com,5552002222,English,M.A.,321 Literature St,2016-08-22
TCH0013,Ms. Maria Santos,maria@example.com,5553003333,Mathematics,M.Sc.,654 Calculus Ave,2017-11-05
TCH0014,Prof. Nathan Cohen,nathan@example.com,5554004444,Philosophy,Ph.D.,123 Wisdom Ln,2012-04-10
TCH0015,Dr. Olivia Martinez,olivia@example.com,5555005555,Sociology,Ph.D.,456 Society Dr,2015-06-20
